description,FaceValue,Products
"SAVE $1.00 ONE Downy Liquid Fabric Conditioner 48ld to 60ld (Includes Downy Odor Protect 32oz OR Downy Wrinkle Guard 25oz OR Downy Nature Blends 44 oz) OR Bounce/Downy Sheets 70ct to 120ct(Includes Bounce/Downy Wrinkle Guard 40ct to 60ct) OR In Wash Scent Boosters 5.7oz (includes Downy Unstopables, Fresh Protect, Odor Protect, and Infusions) OR Bounce Rapid Touch-up 3 in 1 Spray OR Downy Wrinkle Releaser Spray (excludes Downy Libre Enjuague and trial/travel size)",$1.00,"Fresh Protect, Bounce Rapid Touch-up 3 in 1 Spray, Downy Nature Blends, Downy Wrinkle Releaser Spray, Bounce/Downy Wrinkle Guard, Downy Unstopables, Odor Protect, Downy Libre Enjuague, Downy Odor Protect, Downy Wrinkle Guard, Bounce/Downy Sheets, In Wash Scent Boosters, Wash Scent Boosters, Downy Liquid Fabric Conditioner, Infusions, trial/travel size"
"SAVE $2.00 ONE Always Radiant, Infinity, PURE, Pure Cotton, Ultra, OR Maxi Pads 10 ct OR higher (excludes Always Liners and Always Discreet).",$2.00,"Always Liners and Always Discreet, Infinity, Always Liners, Always Discreet, Always Radiant, Maxi Pads, Liners, PURE, Radiant, Pure Cotton, Ultra"
"SAVE $0.50 ONE Tide Simply Laundry Detergent 34 oz OR 31 oz OR Tide Simply PODS 13 ct OR Downy Liquid Fabric Conditioner 40 ld OR Bounce/Downy Sheets 40 ct TO 60 ct OR In-Wash Scent Boosters 4.3 oz OR ERA Laundry Detergent 50 oz or smaller (includes Downy Unstopables, Fresh Protect, and Odor Protect) (excludes Bounce/Downy Wrinkle Guard Sheets, Downy Libre Enjuague, Gain Fireworks, and trial/travel size).",$0.50,"Tide Simply PODS, Fresh Protect, Bounce/Downy Wrinkle Guard Sheets, In-Wash Scent Boosters, Bounce/Downy Wrinkle Guard, Laundry Detergent, Downy Unstopables, Tide, Odor Protect, Tide Simply Laundry Detergent, Downy Libre Enjuague, Tide Simply, Downy Wrinkle Guard, Bounce/Downy Sheets, Wash Scent Boosters, Gain, Gain Fireworks, Downy Liquid Fabric Conditioner, ERA Laundry Detergent, trial/travel size"
SAVE $0.50 on any ONE (1) pack of Energizer® Batteries,$0.50,"Energizer® Batteries, pack of Energizer® Batteries"
$0.50 OFF on ONE (1) Frigo® Cheese Heads® 8ct or larger Snack Cheese Product,$0.50,"Snack Cheese Product, Frigo® Cheese Heads®, larger Snack Cheese, larger"
"SAVE $1.00 TWO Old Spice Anti-Perspirant/Deodorant, Body Wash OR Bar Soap (excludes twin packs, High Endurance, Body Spray and Invisible Spray and trial/travel size).",$1.00,"High Endurance, Body Wash, twin packs, Body Spray, Invisible Spray, Old Spice Anti-Perspirant/Deodorant, Body Spray and Invisible Spray, Bar Soap, Spice Anti-Perspirant/Deodorant, Twin, trial/travel size"
"SAVE $2.00 ONE Tide PODS OR Tide Power PODS (excludes Tide Liquid/Powder Laundry Detergent, Tide Simply, Tide Simply PODS, and Tide PODS 9 ct and below, and trial/travel size).",$2.00,"Powder Laundry Detergent, Tide Simply PODS, Tide Liquid, Laundry Detergent, Tide, Tide Power PODS, Tide PODS, Tide Simply, Tide Liquid/Powder Laundry Detergent, Tide Liquid/Powder, trial/travel size"
"SAVE $2.00 ONE Tampax Pearl, Radiant OR PURE Tampons (14 ct or higher).",$2.00,"PURE, Radiant, Tampax Pearl, PURE Tampons"
"SAVE $1.50 on any ONE (1) Glade® 3-Wick Candles, Twin Pack 3.4oz Candles, PIugIn® Scented Oil Refill Pack, or Large Automatic Refills Only (Excludes 1 Count 3.4oz Candles and PlugIns® Scented Oil Warmer Only packs)",$1.50,"PIugIn® Scented Oil Refill Pack, Large Automatic Refills, Twin Pack 3.4oz Candles, 1 Count 3.4oz Candles, PlugIns® Scented Oil Warmer, PlugIns® Scented Oil Warmer Only packs, Large Automatic Refills Only, Glade® 3-Wick Candles, Twin, Candles and PlugIns® Scented Oil Warmer Only packs"
$1.00 OFF on any THREE (3) noosa® yoghurts,$1.00,"noosa® yoghurts, noosa® Yoghurt"
"SAVE $2.00 ONE Downy Liquid Fabric Conditioner 72 ld or larger (includes Downy Odor Protect 48 oz or larger OR Downy Wrinkle Guard 40 oz or larger OR Downy Nature Blends 67 oz or larger) OR Bounce/Downy Sheets 130 ct or larger (includes Bounce/Downy Wrinkle Guard 80 ct or larger) OR In Wash Scent Boosters 8.6 oz or larger (includes Downy Unstopables, Fresh Protect, Odor Protect, and Infusions) (excludes Downy Libre Enjuague, Gain Fireworks, and trial/travel size).",$2.00,"Fresh Protect, Downy Nature Blends, Bounce/Downy Wrinkle Guard, Downy Unstopables, Odor Protect, Downy Libre Enjuague, Downy Odor Protect, Downy Wrinkle Guard, Bounce/Downy Sheets, In Wash Scent Boosters, Wash Scent Boosters, Gain, Gain Fireworks, Downy Liquid Fabric Conditioner, Infusions, larger, trial/travel size"
"SAVE $2.00 on TWO (2) Purina® Beggin®, Busy® or DentaLife® Dog Treats or Chews, any size, any variety",$2.00,"Chews, Purina® Beggin®, Treats, DentaLife® Dog Treats, Busy® or DentaLife® Dog Treats, Purina®, Busy®, Dog Treats, DentaLife®"
SAVE $1.00 on any TWO (2) boxes of Life cereal,$1.00,boxes of Life cereal
SAVE $1.25 on any ONE (1) crunchy Crunchmaster® Crackers or Snacks,$1.25,"Snacks, crunchy Crunchmaster® Crackers or Snacks, crunchy Crunchmaster®, Crackers"
$1.00 OFF any THREE (3) Happy Baby Organics &amp; Happy Tot Organics pouches,$1.00,
"SAVE $1.00 ONE Gain Liquid Fabric Softener 48 ld or larger (includes Gain Botanicals) OR Gain Fireworks In Wash Scent Boosters 5.7 oz or larger OR Gain Dryer Sheets 105 ct or larger (excludes Gain Flings, Gain Detergent and trial/travel size).",$1.00,"Gain Botanicals, Gain Fireworks In Wash Scent Boosters, Gain Liquid, Gain Flings, Gain Fireworks In, Gain Dryer Sheets, Gain Liquid Fabric Softener, In Wash Scent Boosters, Wash Scent Boosters, Gain, Gain Detergent, Gain Fireworks, Liquid Fabric Softener, larger, trial/travel size"
